Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
ICBC,229.805,151.381,41.9837,3473.238,1,Financials,Major Banks,Asia,China,China,,Jian Jiang,http://www.forbes.com/companies/icbc/,0.012087769,0.277337975
China Construction Bank,200.458,134.242,34.9814,3016.578,2,Financials,Major Banks,Asia,China,China,,You Guo,http://www.forbes.com/companies/china-construction-bank/,0.011596385,0.260584616
Berkshire Hathaway,409.908,222.935,24.074,620.854,3,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Edward Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.038775622,0.107986633
JPMorgan Chase,306.616,102.494,24.231,2512.986,4,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.009642314,0.236413839
Wells Fargo,274.385,97.573,21.938,1943.443,5,Financials,Major Banks,North America,United States,California,California,Timothy J. Sloan,http://www.forbes.com/companies/wells-fargo/,0.011288214,0.224836789
Agricultural Bank of China,149.229,115.698,27.7975,2816.039,6,Financials,Regional Banks,Asia,China,China,,Ying Che,http://www.forbes.com/companies/agricultural-bank-of-china/,0.009871135,0.240259123
Bank of America,231.876,92.214,16.563,2196.847,7,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian T. Moynihan,http://www.forbes.com/companies/bank-of-america/,0.007539442,0.179614809
Bank of China,141.321,113.107,24.8566,2611.539,8,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.009517989,0.219761818
Apple,752.039,217.481,45.217,331.141,9,Information Technology,Computer Hardware,North America,United States,California,California,Tim Cook,http://www.forbes.com/companies/apple/,0.136549083,0.207912415
Toyota Motor,171.85,249.902,17.1115,412.496,10,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takeshi Uchiyamada,http://www.forbes.com/companies/toyota-motor/,0.041482827,0.068472841
