Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
ICBC,198.042,171.077,44.1603,3420.257,1,Financials,Major Banks,Asia,China,China,,Jian Jiang,http://www.forbes.com/companies/icbc/,0.012911398,0.258131134
China Construction Bank,162.774,146.816,36.3934,2825.983,2,Financials,Regional Banks,Asia,China,China,,You Guo,http://www.forbes.com/companies/china-construction-bank/,0.012878138,0.247884427
Agricultural Bank of China,152.736,131.888,28.8087,2739.835,3,Financials,Regional Banks,Asia,China,China,,Ying Che,http://www.forbes.com/companies/agricultural-bank-of-china/,0.010514757,0.218433064
Berkshire Hathaway,360.145,210.821,24.083,561.068,4,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.042923496,0.11423435
JPMorgan Chase,234.247,99.881,23.548,2423.808,5,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.009715291,0.235760555
Bank of China,143.002,122.027,27.2095,2589.605,6,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.010507201,0.222979341
Wells Fargo,255.998,91.431,22.686,1849.182,7,Financials,Major Banks,North America,United States,California,California,John Stumpf,http://www.forbes.com/companies/wells-fargo/,0.012268127,0.248121534
Apple,585.951,233.273,53.731,293.284,8,Information Technology,Computer Hardware,North America,United States,,,Timothy Cook,http://www.forbes.com/companies/apple/,0.183204675,0.230335272
ExxonMobil,363.27,236.81,16.15,336.758,9,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Rex Tillerson,http://www.forbes.com/companies/exxon-mobil/,0.047957287,0.068198134
Toyota Motor,176.96,235.832,19.267,406.692,10,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takeshi Uchiyamada,http://www.forbes.com/companies/toyota-motor/,0.047374918,0.081697988
Bank of America,156.021,91.496,15.844,2185.498,11,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian Moynihan,http://www.forbes.com/companies/bank-of-america/,0.007249606,0.17316604
AT&T,234.177,146.801,13.244,402.672,12,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall Stephenson,http://www.forbes.com/companies/att/,0.032890293,0.090217369
Citigroup,138.149,85.945,15.771,1800.967,13,Financials,Major Banks,North America,United States,New York,New York,Mike Corbat,http://www.forbes.com/companies/citigroup/,0.008756962,0.183501076
HSBC Holdings,132.956,70.267,13.4786,2409.656,14,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Stuart Gulliver,http://www.forbes.com/companies/hsbc-holdings/,0.005593579,0.191819773
Verizon Communications,206.244,131.807,17.97,244.587,15,Telecommunication Services,Telecommunications services,North America,United States,New Jersey,New Jersey,Lowell Mcadam,http://www.forbes.com/companies/verizon-communications/,0.07347079,0.136335703
Wal-Mart Stores,215.696,482.13,14.694,199.581,15,Consumer Discretionary,Discount Stores,North America,United States,Arkansas,Arkansas,C Mcmillon,http://www.forbes.com/companies/wal-mart-stores/,0.073624243,0.030477257
PetroChina,203.848,274.608,5.7043,368.685,17,Energy,Oil & Gas Operations,Asia,China,China,,Wang Dongjin,http://www.forbes.com/companies/petrochina/,0.015472015,0.020772519
China Mobile,240.997,107.758,17.1245,219.893,18,Telecommunication Services,Telecommunications services,Asia,China,China,,Yue Li,http://www.forbes.com/companies/china-mobile/,0.077876513,0.158916275
Samsung Electronics,161.55,177.286,16.5176,206.541,18,Information Technology,Semiconductors,Asia,South Korea,South Korea,,Oh-Hyun Kwon,http://www.forbes.com/companies/samsung-electronics/,0.079972499,0.093169229
Ping An Insurance Group,89.974,98.688,8.6579,732.277,20,Financials,Diversified Insurance,Asia,China,China,,Ming Ma,http://www.forbes.com/companies/ping-an-insurance/,0.011823258,0.087730018
Allianz,79.725,115.424,7.3377,926.157,21,Financials,Diversified Insurance,Europe,Germany,Germany,,Oliver Bäte,http://www.forbes.com/companies/allianz/,0.007922739,0.063571701
Volkswagen Group,73.073,246.232,7.06,414.588,22,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Hans Pötsch,http://www.forbes.com/companies/volkswagen-group/,0.017028954,0.028672147
Microsoft,407.015,86.596,10.179,181.869,23,Information Technology,Software & Programming,North America,United States,Washington,Washington,Satya Nadella,http://www.forbes.com/companies/microsoft/,0.055968857,0.117545845
BNP Paribas,66.847,74.91,7.4231,2166.292,24,Financials,Major Banks,Europe,France,France,,Jean-Laurent Bonnafé,http://www.forbes.com/companies/bnp-paribas/,0.003426639,0.099093579
Daimler,75.406,165.747,9.3415,235.907,24,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Dieter Zetsche,http://www.forbes.com/companies/daimler/,0.039598232,0.056359994
AXA Group,61.857,129.808,5.8906,965.384,26,Financials,Diversified Insurance,Europe,France,France,,Henri De Castries,http://www.forbes.com/companies/axa-group/,0.006101821,0.045379329
Alphabet,500.077,77.231,17.04,149.747,27,Information Technology,Computer Services,North America,United States,California,California,Larry Page,http://www.forbes.com/companies/alphabet/,0.113791929,0.220636791
Chevron,192.258,129.866,4.587,266.103,28,Energy,Oil & Gas Operations,North America,United States,California,California,John Watson,http://www.forbes.com/companies/chevron/,0.017237686,0.035321023
Japan Post Holdings,62.57,129.795,4.3938,2450.733,29,Financials,Life & Health Insurance,Asia,Japan,Japan,,Masatsugu Nagato,http://www.forbes.com/companies/japan-post-holdings/,0.001792851,0.033851843
Total,121.917,143.359,5.0341,224.484,30,Energy,Oil & Gas Operations,Europe,France,France,,Patrick Pouyanné,http://www.forbes.com/companies/total/,0.022425206,0.03511534
Sinopec,89.941,283.613,5.124,223.661,31,Energy,Oil & Gas Operations,Asia,China,China,,Qingde Sun,http://www.forbes.com/companies/sinopec/,0.022909671,0.018066873
Johnson & Johnson,312.575,70.236,15.381,133.411,32,Health Care,Medical Equipment & Supplies,North America,United States,New Jersey,New Jersey,Alex Gorsky,http://www.forbes.com/companies/johnson-johnson/,0.115290343,0.218990261
Nestle,235.701,92.208,9.4155,123.868,33,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,,Paul Bulcke,http://www.forbes.com/companies/nestle/,0.076012368,0.10211153
Mitsubishi UFJ Financial,73.516,44.244,7.9219,2458.766,34,Financials,Regional Banks,Asia,Japan,Japan,,Nobuyuki Hirano,http://www.forbes.com/companies/mitsubishi-ufj-financial/,0.003221901,0.179050267
Comcast,148.187,74.51,8.163,166.574,35,Consumer Discretionary,Broadcasting & Cable,North America,United States,Pennsylvania,Pennsylvania,Brian Roberts,http://www.forbes.com/companies/comcast/,0.049005247,0.109555764
Bank of Communications,55.652,56.985,10.6015,1101.91,36,Financials,Regional Banks,Asia,China,China,,Qing Hua,http://www.forbes.com/companies/bank-of-communications/,0.009621022,0.186040186
Banco Santander,72.526,49.786,6.6223,1455.924,37,Financials,Major Banks,Europe,Spain,Spain,,José ?lvarez,http://www.forbes.com/companies/banco-santander/,0.00454852,0.133015306
China Merchants Bank,66.759,48.189,9.2025,843.134,38,Financials,Regional Banks,Asia,China,China,,Jian Li,http://www.forbes.com/companies/china-merchants-bank/,0.010914635,0.190966818
Procter & Gamble,218.935,69.374,8.446,129.143,39,Consumer Staples,Household/Personal Care,North America,United States,Ohio,Ohio,David Taylor,http://www.forbes.com/companies/procter-gamble/,0.06540037,0.121745899
Ford Motor,54.196,149.558,7.373,224.925,40,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mark Fields,http://www.forbes.com/companies/ford-motor/,0.032779815,0.0492986
