Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
ICBC,278.327,166.796,44.7572,3322.043,1,Financials,Major Banks,Asia,China,China,,Jiang Jianqing,http://www.forbes.com/companies/icbc/,0.013472794,0.268334972
China Construction Bank,212.945,130.473,37.0389,2698.925,2,Financials,Regional Banks,Asia,China,China,,Zhang Jianguo,http://www.forbes.com/companies/china-construction-bank/,0.013723575,0.283881723
Agricultural Bank of China,189.879,129.221,29.1245,2574.815,3,Financials,Regional Banks,Asia,China,China,,Zhang Yun,http://www.forbes.com/companies/agricultural-bank-of-china/,0.011311298,0.225385193
Bank of China,199.13,120.297,27.5268,2458.336,4,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.01119733,0.228823661
Berkshire Hathaway,354.813,194.673,19.872,534.618,5,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.037170466,0.102078871
JPMorgan Chase,225.451,97.817,21.219,2593.562,6,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.008181412,0.216925483
Exxon Mobil,357.094,376.24,32.52,349.493,7,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Rex Tillerson,http://www.forbes.com/companies/exxon-mobil/,0.093049074,0.086434191
PetroChina,334.578,333.386,17.3883,387.714,8,Energy,Oil & Gas Operations,Asia,China,China,,Wang Dongjin,http://www.forbes.com/companies/petrochina/,0.044848264,0.052156659
General Electric,253.5,148.451,15.218,648.349,9,Industrials,Conglomerates,North America,United States,Connecticut,Connecticut,Jeffrey Immelt,http://www.forbes.com/companies/general-electric/,0.023471926,0.10251194
Wells Fargo,278.273,90.403,23.057,1701.408,10,Financials,Major Banks,North America,United States,California,California,John Stumpf,http://www.forbes.com/companies/wells-fargo/,0.013551717,0.255046846
Toyota Motor,239.045,252.185,19.1204,389.693,11,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Akio Toyoda,http://www.forbes.com/companies/toyota-motor/,0.04906529,0.075818942
Apple,741.782,199.378,44.462,261.894,12,Information Technology,Computer Hardware,North America,United States,California,California,Timothy Cook,http://www.forbes.com/companies/apple/,0.169770976,0.223003541
Royal Dutch Shell,195.38,420.371,14.8841,353.116,13,Energy,Oil & Gas Operations,Europe,Netherlands,Netherlands,,Ben Van Beurden,http://www.forbes.com/companies/royal-dutch-shell/,0.042150738,0.035407057
Volkswagen Group,126.017,268.549,14.388,424.98,14,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Martin Winterkorn,http://www.forbes.com/companies/volkswagen-group/,0.033855711,0.053576815
HSBC Holdings,167.746,81.086,13.5367,2634.139,15,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Stuart Gulliver,http://www.forbes.com/companies/hsbc-holdings/,0.005138947,0.166942505
Chevron,201.029,191.755,19.241,266.026,16,Energy,Oil & Gas Operations,North America,United States,California,California,John Watson,http://www.forbes.com/companies/chevron/,0.072327517,0.100341582
Wal-Mart Stores,261.279,485.651,16.363,203.706,16,Consumer Discretionary,Discount Stores,North America,United States,Arkansas,Arkansas,C Mcmillon,http://www.forbes.com/companies/wal-mart-stores/,0.080326549,0.033692919
Samsung Electronics,199.356,195.891,21.9278,209.637,18,Information Technology,Semiconductors,Asia,South Korea,South Korea,,Oh-Hyun Kwon,http://www.forbes.com/companies/samsung-electronics/,0.104598902,0.111938782
Citigroup,156.663,93.929,7.203,1846.006,19,Financials,Major Banks,North America,United States,New York,New York,Mike Corbat,http://www.forbes.com/companies/citigroup/,0.003901937,0.076685582
China Mobile,271.486,104.086,17.724,208.97,20,Telecommunication Services,Telecommunications services,Asia,China,China,,Yue Li,http://www.forbes.com/companies/china-mobile/,0.084816002,0.170282267
Allianz,82.007,128.401,8.2505,978.98,21,Financials,Diversified Insurance,Europe,Germany,Germany,,Michael Diekmann,http://www.forbes.com/companies/allianz/,0.008427649,0.06425573
Verizon Communications,202.49,127.079,9.625,232.708,22,Telecommunication Services,Telecommunications services,North America,United States,New York,New York,Lowell Mcadam,http://www.forbes.com/companies/verizon-communications/,0.041360847,0.075740288
Bank of America,163.171,97.021,4.833,2114.11,23,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian Moynihan,http://www.forbes.com/companies/bank-of-america/,0.002286068,0.049813958
Sinopec,121.023,427.595,7.6975,233.941,24,Energy,Oil & Gas Operations,Asia,China,China,,Li Chunguang,http://www.forbes.com/companies/sinopec/,0.032903595,0.018001848
Microsoft,340.826,93.268,20.675,174.848,25,Information Technology,Software & Programming,North America,United States,Washington,Washington,Satya Nadella,http://www.forbes.com/companies/microsoft/,0.118245562,0.221673028
Daimler,103.272,172.268,9.2347,229.468,26,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Dieter Zetsche,http://www.forbes.com/companies/daimler/,0.040243956,0.05360659
AT&T,172.988,132.447,6.224,292.829,27,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall Stephenson,http://www.forbes.com/companies/att/,0.021254725,0.046992382
Gazprom,62.486,157.974,24.0999,356.029,27,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Alexei Miller,http://www.forbes.com/companies/gazprom/,0.067690834,0.152556117
AXA Group,64.247,153.838,6.2675,1016.563,29,Financials,Diversified Insurance,Europe,France,France,,Henri De Castries,http://www.forbes.com/companies/axa-group/,0.006165383,0.040740909
Nestle,247.294,100.077,15.7918,134.303,30,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,,Paul Bulcke,http://www.forbes.com/companies/nestle/,0.117583375,0.157796497
Banco Santander,109.351,56.361,7.7146,1532.282,31,Financials,Major Banks,Europe,Spain,Spain,,José ?lvarez,http://www.forbes.com/companies/banco-santander/,0.005034713,0.136878338
Ping An Insurance Group,113.846,75.349,6.3747,645.698,32,Financials,Diversified Insurance,Asia,China,China,,Ming Ma,http://www.forbes.com/companies/ping-an-insurance/,0.009872572,0.084602317
Mitsubishi UFJ Financial,90.923,49.156,10.6414,2328.522,33,Financials,Regional Banks,Asia,Japan,Japan,,Nobuyuki Hirano,http://www.forbes.com/companies/mitsubishi-ufj-financial/,0.004570023,0.21648222
Johnson & Johnson,275.72,74.155,16.323,131.119,34,Health Care,Medical Equipment & Supplies,North America,United States,New Jersey,New Jersey,Alex Gorsky,http://www.forbes.com/companies/johnson-johnson/,0.124489967,0.220120019
Total,120.222,211.355,4.244,229.798,35,Energy,Oil & Gas Operations,Europe,France,France,,Patrick Pouyanné,http://www.forbes.com/companies/total/,0.018468394,0.02007996
