Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales,,,,,,,,,,,,
ICBC,Financials,Major Banks,Asia,China,215.6,148.7,42.7,3124.9,1,http://www.forbes.com/companies/icbc/,0.013664437,0.287155346,,,,,,,,,,,,
China Construction Bank,Financials,Regional Banks,Asia,China,174.4,121.3,34.2,2449.5,2,http://www.forbes.com/companies/china-construction-bank/,0.013962033,0.281945589,,,,,,,,,,,,
Agricultural Bank of China,Financials,Regional Banks,Asia,China,141.1,136.4,27,2405.4,3,http://www.forbes.com/companies/agricultural-bank-of-china/,0.011224744,0.197947214,,,,,,,,,,,,
JPMorgan Chase,Financials,Major Banks,North America,United States,229.7,105.7,17.3,2435.3,4,http://www.forbes.com/companies/jpmorgan-chase/,0.007103848,0.163670766,,,,,,,,,,,,
Berkshire Hathaway,Financials,Investment Services,North America,United States,309.1,178.8,19.5,493.4,5,http://www.forbes.com/companies/berkshire-hathaway/,0.039521686,0.109060403,,,,,,,,,,,,
Exxon Mobil,Energy,Oil & Gas Operations,North America,United States,422.3,394,32.6,346.8,6,http://www.forbes.com/companies/exxon-mobil/,0.094002307,0.082741117,,,,,,,,,,,,
General Electric,Industrials,Conglomerates,North America,United States,259.6,143.3,14.8,656.6,7,http://www.forbes.com/companies/general-electric/,0.022540359,0.103279833,,,,,,,,,,,,
Wells Fargo,Financials,Major Banks,North America,United States,261.4,88.7,21.9,1543,8,http://www.forbes.com/companies/wells-fargo/,0.01419313,0.246899662,,,,,,,,,,,,
Bank of China,Financials,Major Banks,Asia,China,124.2,105.1,25.5,2291.8,9,http://www.forbes.com/companies/bank-of-china/,0.011126625,0.24262607,,,,,,,,,,,,
PetroChina,Energy,Oil & Gas Operations,Asia,China,202,328.5,21.1,386.9,10,http://www.forbes.com/companies/petrochina/,0.054536056,0.064231355,,,,,,,,,,,,
Royal Dutch Shell,Energy,Oil & Gas Operations,Europe,Netherlands,234.1,451.4,16.4,357.5,11,http://www.forbes.com/companies/royal-dutch-shell/,0.045874126,0.036331413,,,,,,,,,,,,
Toyota Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,193.5,255.6,18.8,385.5,12,http://www.forbes.com/companies/toyota-motor/,0.048767834,0.073552426,,,,,,,,,,,,
Bank of America,Financials,Major Banks,North America,United States,183.3,101.5,11.4,2113.8,13,http://www.forbes.com/companies/bank-of-america/,0.005393131,0.112315271,,,,,,,,,,,,
HSBC Holdings,Financials,Major Banks,Europe,United Kingdom,192.6,79.6,16.3,2671.3,14,http://www.forbes.com/companies/hsbc-holdings/,0.006101898,0.204773869,,,,,,,,,,,,
Apple,Information Technology,Computer Hardware,North America,United States,483.1,173.8,37,225.2,15,http://www.forbes.com/companies/apple/,0.164298401,0.212888377,,,,,,,,,,,,
Citigroup,Financials,Major Banks,North America,United States,145.1,94.1,13.4,1883.4,16,http://www.forbes.com/companies/citigroup/,0.007114792,0.1424017,,,,,,,,,,,,
BP,Energy,Oil & Gas Operations,Europe,United Kingdom,148.8,379.2,23.6,305.7,17,http://www.forbes.com/companies/bp/,0.077199869,0.062236287,,,,,,,,,,,,
Chevron,Energy,Oil & Gas Operations,North America,United States,227.2,211.8,21.4,253.8,18,http://www.forbes.com/companies/chevron/,0.084318361,0.101038716,,,,,,,,,,,,
Volkswagen Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,119,261.5,12,446.9,19,http://www.forbes.com/companies/volkswagen-group/,0.026851645,0.045889101,,,,,,,,,,,,
Wal-Mart Stores,Consumer Discretionary,Discount Stores,North America,United States,247.9,476.5,16,204.8,20,http://www.forbes.com/companies/wal-mart-stores/,0.078125,0.033578174,,,,,,,,,,,,
Gazprom,Energy,Oil & Gas Operations,Asia,Russia,88.8,164.6,39,397.2,21,http://www.forbes.com/companies/gazprom/,0.098187311,0.236938032,,,,,,,,,,,,
Samsung Electronics,Information Technology,Semiconductors,Asia,South Korea,186.5,208.9,27.2,202.8,22,http://www.forbes.com/companies/samsung-electronics/,0.134122288,0.13020584,,,,,,,,,,,,
AT&T,Telecommunication Services,Telecommunications services,North America,United States,182.7,128.8,18.2,277.8,23,http://www.forbes.com/companies/att/,0.065514759,0.141304348,,,,,,,,,,,,
BNP Paribas,Financials,Major Banks,Europe,France,98.6,123.2,6.4,2480.5,24,http://www.forbes.com/companies/bnp-paribas/,0.002580125,0.051948052,,,,,,,,,,,,
Total,Energy,Oil & Gas Operations,Europe,France,149.8,227.9,11.2,239.1,25,http://www.forbes.com/companies/total/,0.046842325,0.049144362,,,,,,,,,,,,
Verizon Communications,Telecommunication Services,Telecommunications services,North America,United States,197.7,120.6,11.5,274.1,26,http://www.forbes.com/companies/verizon-communications/,0.041955491,0.095356551,,,,,,,,,,,,
Allianz,Financials,Diversified Insurance,Europe,Germany,77.2,131.4,8,963.1,27,http://www.forbes.com/companies/allianz/,0.00830651,0.060882801,,,,,,,,,,,,
China Mobile,Telecommunication Services,Telecommunications services,Asia,Hong Kong,184.6,102.5,19.8,192.8,28,http://www.forbes.com/companies/china-mobile/,0.102697095,0.193170732,,,,,,,,,,,,
Sinopec-China Petroleum,Energy,Oil & Gas Operations,Asia,China,94.7,445.3,10.9,228.4,29,http://www.forbes.com/companies/sinopec-china-petroleum/,0.047723292,0.02447788,,,,,,,,,,,,
Petrobras,Energy,Oil & Gas Operations,South America,Brazil,86.8,141.2,10.9,319.2,30,http://www.forbes.com/companies/petrobras/,0.03414787,0.077195467,,,,,,,,,,,,
Daimler,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,102.9,156.6,9.1,232.2,31,http://www.forbes.com/companies/daimler/,0.039190353,0.058109834,,,,,,,,,,,,
Microsoft,Information Technology,Software & Programming,North America,United States,343.8,83.3,22.8,153.5,32,http://www.forbes.com/companies/microsoft/,0.148534202,0.273709484,,,,,,,,,,,,
AXA Group,Financials,Diversified Insurance,Europe,France,63.4,138.9,6,1018.9,33,http://www.forbes.com/companies/axa-group/,0.005888704,0.043196544,,,,,,,,,,,,
Rosneft,Energy,Oil & Gas Operations,Asia,Russia,70,142.6,12.8,229.4,34,http://www.forbes.com/companies/rosneft/,0.055797733,0.089761571,,,,,,,,,,,,
IBM,Information Technology,Computer Services,North America,United States,202.5,99.8,16.5,126.2,35,http://www.forbes.com/companies/ibm/,0.130744849,0.165330661,,,,,,,,,,,,
Nestle,Consumer Staples,Food Processing,Europe,Switzerland,239.6,99.4,10.8,135.4,36,http://www.forbes.com/companies/nestle/,0.079763663,0.108651911,,,,,,,,,,,,
Mitsubishi UFJ Financial,Financials,Major Banks,Asia,Japan,77.7,48.6,11.3,2458.9,37,http://www.forbes.com/companies/mitsubishi-ufj-financial/,0.004595551,0.232510288,,,,,,,,,,,,
Vodafone,Telecommunication Services,Telecommunications services,Europe,United Kingdom,96.9,65.1,31.8,235.6,38,http://www.forbes.com/companies/vodafone/,0.134974533,0.488479263,,,,,,,,,,,,
Eni,Energy,Oil & Gas Operations,Europe,Italy,90.9,152.7,6.9,186.6,39,http://www.forbes.com/companies/eni/,0.036977492,0.04518664,,,,,,,,,,,,
Procter & Gamble,Consumer Staples,Household/Personal Care,North America,United States,217.8,84.7,10.9,142.9,40,http://www.forbes.com/companies/procter-gamble/,0.076277117,0.128689492,,,,,,,,,,,,
Johnson & Johnson,Health Care,Medical Equipment & Supplies,North America,United States,277,71.3,13.8,132.7,41,http://www.forbes.com/companies/johnson-johnson/,0.103993971,0.193548387,,,,,,,,,,,,
American International Group,Financials,Diversified Insurance,North America,United States,73.2,68.1,9.1,540.7,42,http://www.forbes.com/companies/american-international-group/,0.016830035,0.133627019,,,,,,,,,,,,
Banco Santander,Financials,Major Banks,Europe,Spain,112.3,52.5,5.8,1537.3,43,http://www.forbes.com/companies/banco-santander/,0.003772849,0.11047619,,,,,,,,,,,,
BHP Billiton,Materials,Diversified Metals & Mining,Australia,Australia,182.3,67.7,14.8,151,44,http://www.forbes.com/companies/bhp-billiton/,0.098013245,0.218611521,,,,,,,,,,,,
Pfizer,Health Care,Pharmaceuticals,North America,United States,203.9,52.7,22,172.1,45,http://www.forbes.com/companies/pfizer/,0.127832655,0.417457306,,,,,,,,,,,,
Itaú Unibanco Holding,Financials,Major Banks,South America,Brazil,74.9,67.2,7.6,435.4,46,http://www.forbes.com/companies/itau-unibanco-holding/,0.017455214,0.113095238,,,,,,,,,,,,
Ford Motor,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,64.5,146.9,7.2,202,47,http://www.forbes.com/companies/ford-motor/,0.035643564,0.049012934,,,,,,,,,,,,
BMW Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,83.4,101,7.1,190.7,48,http://www.forbes.com/companies/bmw-group/,0.037231253,0.07029703,,,,,,,,,,,,
Commonwealth Bank,Financials,Major Banks,Australia,Australia,114.5,41.5,7.9,699.9,49,http://www.forbes.com/companies/commonwealth-bank/,0.011287327,0.190361446,,,,,,,,,,,,
EDF,Utilities,Electric Utilities,Europe,France,75.8,100.4,4.5,353.9,50,http://www.forbes.com/companies/edf/,0.012715456,0.044820717,,,,,,,,,,,,
Statoil,Energy,Oil & Gas Operations,Europe,Norway,89.2,105.2,6.8,146,51,http://www.forbes.com/companies/statoil/,0.046575342,0.064638783,,,,,,,,,,,,
Google,Information Technology,Computer Services,North America,United States,382.5,59.7,12.2,110.9,52,http://www.forbes.com/companies/google/,0.110009017,0.204355109,,,,,,,,,,,,
Siemens,Industrials,Conglomerates,Europe,Germany,114.2,99.7,6,140.1,53,http://www.forbes.com/companies/siemens/,0.042826552,0.060180542,,,,,,,,,,,,
